run_id,run_tag,timestamp,backbone,feature_layers,target_layer,input_size,coreset_frac,coreset_fp16,coreset_algo,coreset_batch,patch_size,knn_k,smooth_sigma,tta,memory_dtype,batch_size,score_batch_size,score_chunk,memory_chunk,project_chunk,seed,n_classes,AP_class_01,AP_class_02,AP_class_03,AP_class_04,AP_class_05,AP_class_06,AP_class_07,AP_class_08,AP_overall,runtime_min,submission_path,notes,AP_pooled
stacker_xgb_v4_5e7efa,stacker-xgb-v5-BB,2026-05-19 13:19:20,STACKER_XGB_V4,,,,,,,,,,,,,,,,,,,8,,,,,,,,,0.5675,,/work/u10813429/anomaly-detection/baseline_out/runs/20260519-105651_stacker_xgb_v5_B/submission.zip,"xgb v4 | M=12 | F=339 | rank_norm=per-class | small_cc=[0,0,0,0,0,0,0,0,0,0,0,0] | consensus=1 | cvd=1 | xv=1 | prior=1 | cls1h=1 | v1h=1 | tune=per-class | calibrate=none",
20260519-142933_draem_in256_b16_it2500_bs8_tta-hvflip_exp13-draem-in256-b32_addbf8,exp13-draem-in256-b32,2026-05-19 15:02:34,DRAEM,,,256,,,,,,,1.5,hvflip,,8,16,,,,0,8,0.0588,0.1635,0.1253,0.1130,0.2572,0.2686,0.1183,0.4043,0.1886,33.0,/work/u10813429/anomaly-detection/baseline_out/runs/20260519-142933_draem_in256_b16_it2500_bs8_tta-hvflip_exp13-draem-in256-b32_addbf8/submission.zip,draem v1.1 base16 anomaly_prob=0.5 focal_alpha=0.5 it2500 bs8,
20260519-155930_textad_in256_b16_it1000_bs8_nd1-3_p0.70_tta-hvflip_baseline_90bd53,baseline,2026-05-19 16:16:36,TEXTAD,,,256,,,,,,,1.5,hvflip,,8,8,,,,0,8,0.2478,0.2521,0.1076,0.2557,0.2579,0.3141,0.2434,0.3566,0.2544,17.1,/work/u10813429/anomaly-detection/baseline_out/runs/20260519-155930_textad_in256_b16_it1000_bs8_nd1-3_p0.70_tta-hvflip_baseline_90bd53/submission.zip,textad v1.1 base16 anom_prob=0.7 nd=1-3 it1000 bs8,
stacker_xgb_v4_bd12f6,stacker-xgb-v5-AA2,2026-05-19 17:51:12,STACKER_XGB_V4,,,,,,,,,,,,,,,,,,,8,,,,,,,,,0.5774,,/work/u10813429/anomaly-detection/baseline_out/runs/20260519-163113_stacker_xgb_v5_A2/submission.zip,"xgb v4 | M=14 | F=391 | rank_norm=per-class | small_cc=[0,0,0,0,0,0,0,0,0,0,0,0,0,0] | consensus=1 | cvd=1 | xv=1 | prior=1 | cls1h=1 | v1h=1 | tune=none | calibrate=none",
fusion_a89654ea,fusion_v3_rank_wmean,2026-05-21 00:24:51,FUSION,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/fusion_v3_rank_wmean/submission.zip,"fusion-rank_wmean of 14 methods (w=local_ap, rn=1, sb=30, cc=0, mvp=none, tkc=None)",
fusion_3890f3ce,fusion_v3_max,2026-05-21 00:31:43,FUSION,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/fusion_v3_max/submission.zip,"fusion-max of 14 methods (w=local_ap, rn=1, sb=85, cc=8, mvp=none, tkc=7)",
fusion_2ffb14f0,fusion_v3_median,2026-05-21 00:40:08,FUSION,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/fusion_v3_median/submission.zip,"fusion-median of 14 methods (w=local_ap, rn=1, sb=50, cc=0, mvp=none, tkc=None)",
fusion_c9214e5d,fusion_v3_agreement,2026-05-21 00:47:53,FUSION,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/fusion_v3_agreement/submission.zip,"fusion-agreement of 14 methods (w=local_ap, rn=1, sb=65, cc=5, mvp=none, tkc=None)",
fusion_988eb3ee,fusion_v3_consensus,2026-05-21 00:56:23,FUSION,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,/work/u10813429/anomaly-detection/baseline_out/runs/fusion_v3_consensus/submission.zip,"fusion-consensus of 14 methods (w=local_ap, rn=1, sb=20, cc=0, mvp=none, tkc=9)",
20260521-030758_dnv2s14r_L9_11_T9_in392_cs05_mb128_retrain-exp2-vit-dnv2reg_dc7aca,retrain-exp2-vit-dnv2reg,2026-05-21 03:17:54,dinov2_vits14_reg,9+11,9,392,0.0500,1,minibatch,128,3,9,1.5,none,fp16,16,8,4096,32768,65536,0,8,0.5372,0.5029,0.2353,0.4727,0.4003,0.5568,0.3282,0.4883,0.4402,9.9,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-030758_dnv2s14r_L9_11_T9_in392_cs05_mb128_retrain-exp2-vit-dnv2reg_dc7aca/submission.zip,,
20260521-031759_dnv2s14r_L3_6_9_11_T3_in392_cs05_mb128_retrain-exp3-vit-dnv2reg_3cf57f,retrain-exp3-vit-dnv2reg,2026-05-21 03:28:26,dinov2_vits14_reg,3+6+9+11,3,392,0.0500,1,minibatch,128,3,9,1.5,none,fp16,16,8,4096,32768,65536,0,8,0.5250,0.4356,0.2101,0.5325,0.4553,0.5425,0.3437,0.5455,0.4488,10.4,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-031759_dnv2s14r_L3_6_9_11_T3_in392_cs05_mb128_retrain-exp3-vit-dnv2reg_3cf57f/submission.zip,,
20260521-032831_dnv2s14r_L3_6_9_11_T3_in392_cs05_mb128_tta-hvflip_retrain-exp4-vit-dnv2reg_86a995,retrain-exp4-vit-dnv2reg,2026-05-21 03:41:17,dinov2_vits14_reg,3+6+9+11,3,392,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,16,8,4096,32768,65536,0,8,0.5277,0.4455,0.2113,0.5372,0.4600,0.5658,0.3567,0.5408,0.4556,12.8,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-032831_dnv2s14r_L3_6_9_11_T3_in392_cs05_mb128_tta-hvflip_retrain-exp4-vit-dnv2reg_86a995/submission.zip,,
20260521-034122_dnv2s14r_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_retrain-exp5-vit-dnv2reg_11a312,retrain-exp5-vit-dnv2reg,2026-05-21 04:10:15,dinov2_vits14_reg,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,32768,65536,0,8,0.5477,0.4474,0.2289,0.5573,0.4738,0.5655,0.3493,0.5311,0.4626,28.9,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-034122_dnv2s14r_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_retrain-exp5-vit-dnv2reg_11a312/submission.zip,,
20260521-041020_dnv2s14r_L3_6_9_11_T3_in518_cs05_mb128_tta-d4_retrain-exp6-vit-dnv2reg_5f096c,retrain-exp6-vit-dnv2reg,2026-05-21 04:54:04,dinov2_vits14_reg,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,d4,fp16,8,4,4096,32768,65536,0,8,0.2998,0.4710,0.2325,0.4044,0.4529,0.5747,0.3793,0.4856,0.4125,43.7,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-041020_dnv2s14r_L3_6_9_11_T3_in518_cs05_mb128_tta-d4_retrain-exp6-vit-dnv2reg_5f096c/submission.zip,,
20260521-081419_cutpaste-pcnn_dnv2s14r_in392_it2500_bs16_pc_cs05mb128_tta-hvflip_retrain-exp8c-vit-dnv2reg_32406b,retrain-exp8c-vit-dnv2reg,2026-05-21 09:14:12,dnv2s14r,3+6+9+11,9,392,,,,,,,1.5,hvflip,,16,8,,,,0,8,0.5286,0.4595,0.2160,0.5280,0.4763,0.5549,0.3487,0.5343,0.4558,59.9,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-081419_cutpaste-pcnn_dnv2s14r_in392_it2500_bs16_pc_cs05mb128_tta-hvflip_retrain-exp8c-vit-dnv2reg_32406b/submission.zip,cutpaste v5 backbone=dinov2_vits14_reg it2500 bs16,
20260521-092702_rd_dnv2s14r_L9_in392_it2500_bs8_lr5e-04_mul_tta-hvflip_rd-vit-dnv2reg_766145,rd-vit-dnv2reg,2026-05-21 09:37:50,RD_DNV2S14R,9,,392,,,,,,,1.5,hvflip,,8,8,,,,0,8,0.3707,0.2856,0.1149,0.2062,0.2166,0.4536,0.2207,0.4195,0.2860,10.8,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-092702_rd_dnv2s14r_L9_in392_it2500_bs8_lr5e-04_mul_tta-hvflip_rd-vit-dnv2reg_766145/submission.zip,reverse_distillation v2 teacher=dinov2_vits14_reg L=9 amap=mul it2500 bs8 lr5e-04,
stacker_xgb_v6_7a3a12,stacker-xgb-v7,2026-05-21 11:11:58,STACKER_XGB_V6,,,,,,,,,,,,,,,,,,,8,,,,,,,,,0.6101,,/work/u10813429/anomaly-detection/baseline_out/runs/20260521-094933_stacker_xgb_v7/submission.zip,xgb v6 | M=14 | F=182 | rank_norm=per-class | storage=uint16 | mahal=1 | mintopk=1 | cc=1 | zrank=1 | cv=1 | prior=1 | xv=1 | tune=none | calibrate=none | pooled_AP=0.6858,0.6858
