run_id,run_tag,timestamp,backbone,feature_layers,target_layer,input_size,coreset_frac,coreset_fp16,coreset_algo,coreset_batch,patch_size,knn_k,smooth_sigma,tta,memory_dtype,batch_size,score_batch_size,score_chunk,memory_chunk,project_chunk,seed,n_classes,AP_class_01,AP_class_02,AP_class_03,AP_class_04,AP_class_05,AP_class_06,AP_class_07,AP_class_08,AP_overall,runtime_min,submission_path,notes,AP_pooled
20260516-143518_effad_rn18_in256_it2500_bs16_noMV_tta-hvflip_effad_nomv_7437ce,effad_nomv,2026-05-16 14:57:27,EFFICIENTAD_RN18,rn18_layer2,,256,,,,,,,1.5,hvflip,,16,32,,,,0,8,0.3427,0.2760,0.1913,0.1565,0.2050,0.4434,0.2892,0.4420,0.2933,22.1,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-143518_effad_rn18_in256_it2500_bs16_noMV_tta-hvflip_effad_nomv_7437ce/submission.zip,efficientad multiview=none mv_alpha=0.5 it2500 bs16 hm0.1,
20260516-145732_effad_rn18_in256_it2500_bs16_MV-a0.50_tta-hvflip_effad_multiview_e08748,effad_multiview,2026-05-16 15:20:04,EFFICIENTAD_RN18,rn18_layer2,,256,,,,,,,1.5,hvflip,,16,32,,,,0,8,0.3701,0.2876,0.1873,0.1696,0.2171,0.4267,0.2835,0.4750,0.3021,22.5,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-145732_effad_rn18_in256_it2500_bs16_MV-a0.50_tta-hvflip_effad_multiview_e08748/submission.zip,efficientad multiview=sibling-bank mv_alpha=0.5 it2500 bs16 hm0.1,
20260516-190801_uniad_effb4_in256_d256_e4d4_nr1_it2500_bs16_noMV_tta-hvflip_exp12-uniad-effb4-noMV_2f4704,exp12-uniad-effb4-noMV,2026-05-16 19:23:50,UNIAD_EFFB4,2+3+5+6,,256,,,,,,,1.5,hvflip,,16,32,,,,0,8,0.0826,0.2289,0.0156,0.0730,0.0829,0.3130,0.2199,0.2549,0.1589,15.8,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-190801_uniad_effb4_in256_d256_e4d4_nr1_it2500_bs16_noMV_tta-hvflip_exp12-uniad-effb4-noMV_2f4704/submission.zip,uniad multiview=none mv_alpha=0.5 d256 e4d4 nr1 it2500 bs16,
20260516-192355_uniad_effb4_in256_d256_e4d4_nr1_it2500_bs16_MV-a0.50_tta-hvflip_exp12mv-uniad-effb4-MV_80c1e5,exp12mv-uniad-effb4-MV,2026-05-16 19:39:49,UNIAD_EFFB4,2+3+5+6,,256,,,,,,,1.5,hvflip,,16,32,,,,0,8,0.0884,0.2371,0.0168,0.0795,0.0933,0.3112,0.2240,0.2607,0.1639,15.9,/work/u10813429/anomaly-detection/baseline_out/runs/20260516-192355_uniad_effb4_in256_d256_e4d4_nr1_it2500_bs16_MV-a0.50_tta-hvflip_exp12mv-uniad-effb4-MV_80c1e5/submission.zip,uniad multiview=sibling-bank mv_alpha=0.5 d256 e4d4 nr1 it2500 bs16,
20260517-001601_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_cv3-a0.50-b0.00_cv3-B-D_4ac234,cv3-B+D,2026-05-17 00:19:10,dinov2_vits14,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,16384,65536,0,1,0.0653,,,,,,,,0.0653,3.1,,multiview=consensus-v3 alpha=0.5 beta=0.0 keep=0.7 pct=95.0 thr=0.9,
20260517-001941_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_cv3-a0.00-b0.40_cv3-B-A_4700b7,cv3-B+A,2026-05-17 00:22:50,dinov2_vits14,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,16384,65536,0,1,0.0368,,,,,,,,0.0368,3.1,,multiview=consensus-v3 alpha=0.0 beta=0.4 keep=0.7 pct=95.0 thr=0.9,
20260517-002355_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_cv3-a0.50-b0.40_cv3-default_f1bcc1,cv3-default,2026-05-17 00:27:04,dinov2_vits14,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,16384,65536,0,1,0.0360,,,,,,,,0.0360,3.1,,multiview=consensus-v3 alpha=0.5 beta=0.4 keep=0.7 pct=95.0 thr=0.9,
20260517-002716_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_cv3-a0.70-b0.40_cv3-aggressive-D_8fcbae,cv3-aggressive-D,2026-05-17 00:30:25,dinov2_vits14,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,16384,65536,0,1,0.0357,,,,,,,,0.0357,3.1,,multiview=consensus-v3 alpha=0.7 beta=0.4 keep=0.5 pct=95.0 thr=0.9,
20260517-003118_dnv2s14_L3_6_9_11_T3_in518_cs05_mb128_tta-hvflip_cv3-a0.50-b0.70_cv3-high-A_4c3848,cv3-high-A,2026-05-17 00:34:28,dinov2_vits14,3+6+9+11,3,518,0.0500,1,minibatch,128,3,9,1.5,hvflip,fp16,8,4,4096,16384,65536,0,1,0.0319,,,,,,,,0.0319,3.2,,multiview=consensus-v3 alpha=0.5 beta=0.7 keep=0.7 pct=95.0 thr=0.85,
20260517-010742_uniad_dnv2s14_b9_in392_d256_e4d4_nr7_it5000_bs8_noMV_tta-hvflip_exp12-uniad-dnv2s14-noMV_512a6d,exp12-uniad-dnv2s14-noMV,2026-05-17 01:56:11,UNIAD_DNV2S14,block_9,,392,,,,,,,1.5,hvflip,,8,16,,,,0,8,0.2591,0.2142,0.0628,0.1011,0.3145,0.3073,0.2672,0.3431,0.2337,48.5,/work/u10813429/anomaly-detection/baseline_out/runs/20260517-010742_uniad_dnv2s14_b9_in392_d256_e4d4_nr7_it5000_bs8_noMV_tta-hvflip_exp12-uniad-dnv2s14-noMV_512a6d/submission.zip,uniad-dnv2s14-b9 L2norm multiview=none mv_alpha=0.5 d256 e4d4 nr7 it5000 bs8,
20260517-015616_uniad_dnv2s14_b9_in392_d256_e4d4_nr7_it5000_bs8_MV-a0.50_tta-hvflip_exp12mv-uniad-dnv2s14-MV_7534b5,exp12mv-uniad-dnv2s14-MV,2026-05-17 02:45:13,UNIAD_DNV2S14,block_9,,392,,,,,,,1.5,hvflip,,8,16,,,,0,8,0.2441,0.1962,0.0682,0.1076,0.2990,0.2999,0.2673,0.3668,0.2311,48.9,/work/u10813429/anomaly-detection/baseline_out/runs/20260517-015616_uniad_dnv2s14_b9_in392_d256_e4d4_nr7_it5000_bs8_MV-a0.50_tta-hvflip_exp12mv-uniad-dnv2s14-MV_7534b5/submission.zip,uniad-dnv2s14-b9 L2norm multiview=sibling-bank mv_alpha=0.5 d256 e4d4 nr7 it5000 bs8,
